x,y
284.98,28.59
284.98,19.21
284.98,9.84
275.61,56.71
275.61,47.34
275.61,37.96
275.61,28.59
275.61,19.21
275.61,9.84
266.23,56.71
266.23,47.34
266.23,37.96
266.23,28.59
266.23,19.21
266.23,9.84
256.86,56.71
256.86,47.34
256.86,37.96
256.86,28.59
256.86,19.21
256.86,9.84
247.48,56.71
247.48,47.34
247.48,37.96
247.48,28.59
247.48,19.21
247.48,9.84
238.11,56.71
238.11,47.34
238.11,37.96
238.11,28.59
238.11,19.21
238.11,9.84
228.73,56.71
228.73,47.34
228.73,37.96
228.73,28.59
228.73,19.21
228.73,9.84
220.66,56.71
220.66,47.34
220.66,37.96
220.66,28.59
220.66,19.21
220.66,9.84
220.66,0.46
220.66,-8.91
220.66,-18.29
220.66,-27.66
220.66,-37.04
220.66,-46.41
220.66,-55.79
220.66,-65.16
220.66,-74.54
220.66,-83.91
211.28,56.71
211.28,47.34
211.28,37.96
211.28,28.59
211.28,19.21
211.28,9.84
211.28,0.46
211.28,-8.91
211.28,-18.29
211.28,-27.66
211.28,-37.04
211.28,-46.41
211.28,-55.79
211.28,-65.16
211.28,-74.54
211.28,-83.91
201.91,56.71
201.91,47.34
201.91,37.96
201.91,28.59
201.91,19.21
201.91,9.84
201.91,0.46
201.91,-8.91
201.91,-18.29
201.91,-27.66
201.91,-37.04
201.91,-46.41
201.91,-55.79
201.91,-65.16
201.91,-74.54
201.91,-83.91
192.53,56.71
192.53,47.34
192.53,37.96
192.53,28.59
192.53,19.21
192.53,-8.91
192.53,-18.29
192.53,-27.66
192.53,-37.04
192.53,-46.41
192.53,-55.79
192.53,-65.16
192.53,-74.54
192.53,-83.91
183.16,56.71
183.16,47.34
183.16,37.96
183.16,28.59
183.16,-8.91
183.16,-18.29
183.16,-27.66
183.16,-37.04
183.16,-46.41
183.16,-55.79
183.16,-65.16
183.16,-74.54
183.16,-83.91
173.78,56.71
173.78,47.34
173.78,37.96
173.78,28.59
173.78,-8.91
173.78,-18.29
173.78,-27.66
173.78,-37.04
173.78,-46.41
173.78,-55.79
173.78,-65.16
173.78,-74.54
173.78,-83.91
52.92,141.09
52.92,131.71
52.92,122.34
52.92,112.96
52.92,103.59
43.54,141.09
43.54,131.71
43.54,122.34
43.54,112.96
43.54,103.59
34.17,141.09
34.17,131.71
34.17,122.34
34.17,112.96
34.17,103.59
24.79,141.09
24.79,131.71
24.79,122.34
24.79,112.96
24.79,103.59
15.42,141.09
15.42,131.71
15.42,122.34
15.42,112.96
15.42,103.59
6.04,141.09
6.04,131.71
6.04,122.34
6.04,112.96
6.04,103.59
-3.33,141.09
-12.71,141.09
-22.08,141.09
-3.33,131.71
-12.71,131.71
-22.08,131.71
-3.33,122.34
-12.71,122.34
-22.08,122.34
-3.33,112.96
-12.71,112.96
-22.08,112.96
-3.33,103.59
-12.71,103.59
-22.08,103.59
-3.33,94.21
-12.71,94.21
-22.08,94.21
-3.33,84.84
-12.71,84.84
-22.08,84.84
-3.33,75.46
-12.71,75.46
-22.08,75.46
-3.33,66.09
-12.71,66.09
-22.08,66.09
136.28,141.09
126.91,141.09
117.53,141.09
108.16,141.09
98.78,141.09
89.41,141.09
80.03,141.09
70.66,141.09
61.28,141.09
136.28,131.71
126.91,131.71
117.53,131.71
108.16,131.71
98.78,131.71
89.41,131.71
80.03,131.71
70.66,131.71
61.28,131.71
136.28,122.34
126.91,122.34
117.53,122.34
108.16,122.34
98.78,122.34
89.41,122.34
80.03,122.34
70.66,122.34
61.28,122.34
136.28,112.96
126.91,112.96
117.53,112.96
108.16,112.96
98.78,112.96
89.41,112.96
80.03,112.96
70.66,112.96
61.28,112.96
136.28,103.59
126.91,103.59
117.53,103.59
108.16,103.59
98.78,103.59
89.41,103.59
80.03,103.59
70.66,103.59
61.28,103.59
136.28,94.21
126.91,94.21
117.53,94.21
108.16,94.21
98.78,94.21
89.41,94.21
80.03,94.21
70.66,94.21
61.28,94.21
136.28,84.84
126.91,84.84
117.53,84.84
108.16,84.84
98.78,84.84
89.41,84.84
80.03,84.84
70.66,84.84
61.28,84.84
136.28,75.46
126.91,75.46
117.53,75.46
108.16,75.46
98.78,75.46
89.41,75.46
80.03,75.46
70.66,75.46
61.28,75.46
136.28,66.09
126.91,66.09
117.53,66.09
108.16,66.09
98.78,66.09
89.41,66.09
80.03,66.09
70.66,66.09
61.28,66.09
52.92,56.71
43.54,56.71
164.41,56.71
155.03,56.71
145.66,56.71
136.28,56.71
126.91,56.71
117.53,56.71
108.16,56.71
98.78,56.71
89.41,56.71
80.03,56.71
70.66,56.71
61.28,56.71
34.17,56.71
24.79,56.71
15.42,56.71
6.04,56.71
-3.33,56.71
-12.71,56.71
-22.08,56.71
52.92,47.34
43.54,47.34
164.41,47.34
155.03,47.34
145.66,47.34
136.28,47.34
126.91,47.34
117.53,47.34
108.16,47.34
98.78,47.34
89.41,47.34
80.03,47.34
70.66,47.34
61.28,47.34
34.17,47.34
24.79,47.34
15.42,47.34
6.04,47.34
-3.33,47.34
-12.71,47.34
-22.08,47.34
52.92,37.96
43.54,37.96
164.41,37.96
155.03,37.96
145.66,37.96
136.28,37.96
126.91,37.96
117.53,37.96
108.16,37.96
98.78,37.96
89.41,37.96
80.03,37.96
70.66,37.96
61.28,37.96
34.17,37.96
24.79,37.96
15.42,37.96
6.04,37.96
-3.33,37.96
-12.71,37.96
-22.08,37.96
52.92,28.59
43.54,28.59
164.41,28.59
155.03,28.59
145.66,28.59
136.28,28.59
126.91,28.59
117.53,28.59
108.16,28.59
98.78,28.59
89.41,28.59
80.03,28.59
70.66,28.59
61.28,28.59
34.17,28.59
24.79,28.59
15.42,28.59
6.04,28.59
-3.33,28.59
-12.71,28.59
-22.08,28.59
52.92,19.21
43.54,19.21
164.41,19.21
155.03,19.21
145.66,19.21
136.28,19.21
126.91,19.21
117.53,19.21
108.16,19.21
98.78,19.21
89.41,19.21
80.03,19.21
70.66,19.21
61.28,19.21
34.17,19.21
24.79,19.21
15.42,19.21
6.04,19.21
-3.33,19.21
-12.71,19.21
-22.08,19.21
52.92,9.84
43.54,9.84
164.41,9.84
155.03,9.84
145.66,9.84
136.28,9.84
126.91,9.84
117.53,9.84
108.16,9.84
98.78,9.84
89.41,9.84
80.03,9.84
70.66,9.84
61.28,9.84
34.17,9.84
24.79,9.84
15.42,9.84
6.04,9.84
-3.33,9.84
-12.71,9.84
-22.08,9.84
52.92,-18.29
52.92,-27.66
52.92,-37.04
52.92,-46.41
52.92,-55.79
52.92,-65.16
52.92,-93.29
52.92,-112.04
52.92,0.46
52.92,-8.91
52.92,-74.54
52.92,-83.91
52.92,-102.66
43.54,0.46
43.54,-8.91
43.54,-27.66
43.54,-37.04
43.54,-46.41
43.54,-65.16
43.54,-74.54
43.54,-93.29
43.54,-18.29
43.54,-55.79
43.54,-83.91
43.54,-102.66
43.54,-112.04
-31.46,9.84
-30.35,28.59
-30.35,141.09
-30.35,131.71
-30.35,122.34
-30.35,112.96
-30.35,103.59
-30.35,94.21
-30.35,84.84
-30.35,75.46
-30.35,66.09
-30.35,56.71
-30.35,47.34
-30.35,37.96
-67.85,141.09
-77.22,141.09
