x,y
228.98,-163.37
233.99,-163.37
238.99,-163.37
243.99,-163.37
248.99,-163.37
253.99,-163.37
259,-163.37
264,-163.37
269,-163.37
274,-163.37
279,-163.37
284.01,-163.37
289.01,-163.37
294.01,-163.37
299.01,-163.37
304.01,-163.37
309.02,-163.37
314.02,-163.37
319.02,-163.37
324.02,-163.37
329.02,-163.37
334.03,-163.37
339.03,-163.37
344.03,-163.37
349.03,-163.37
354.03,-163.37
359.04,-163.37
364.04,-163.37
369.04,-163.37
374.04,-163.37
379.04,-163.37
384.05,-163.37
389.05,-163.37
394.05,-163.37
399.05,-163.37
404.05,-163.37
409.06,-163.37
414.06,-163.37
419.06,-163.37
424.06,-163.37
429.06,-163.37
434.07,-163.37
439.07,-163.37
444.07,-163.37
449.07,-163.37
454.07,-163.37
459.08,-163.37
464.08,-163.37
469.08,-163.37
474.08,-163.37
479.08,-163.37
484.09,-163.37
489.09,-163.37
494.09,-163.37
499.09,-163.37
504.09,-163.37
509.1,-163.37
514.1,-163.37
519.1,-163.37
524.1,-163.37
529.1,-163.37
534.11,-163.37
539.11,-163.37
544.11,-163.37
549.11,-163.37
554.11,-163.37
559.12,-163.37
559.93,-159.19
559.93,-154.18
559.93,-149.18
559.93,-144.18
559.93,-139.18
559.93,-134.18
559.93,-129.17
559.93,-124.17
559.93,-119.17
559.93,-114.17
559.93,-109.17
559.93,-104.16
559.93,-99.16
559.93,-94.16
559.93,-89.16
559.93,-84.16
559.93,-79.15
559.93,-74.15
559.93,-69.15
559.93,-64.15
559.93,-59.15
559.93,-54.14
559.93,-49.14
559.93,-44.14
559.93,-39.14
559.93,-34.14
559.93,-29.13
559.93,-24.13
559.93,-19.13
559.93,-14.13
559.93,-9.13
559.93,-4.12
559.93,0.88
559.93,5.88
559.93,10.88
559.93,15.88
559.93,20.89
559.36,25.31
554.36,25.31
549.35,25.31
544.35,25.31
539.35,25.31
534.35,25.31
529.35,25.31
524.34,25.31
519.34,25.31
514.34,25.31
509.34,25.31
504.34,25.31
499.33,25.31
494.33,25.31
489.33,25.31
484.33,25.31
479.33,25.31
474.32,25.31
469.32,25.31
469.28,30.28
469.28,35.28
469.28,40.28
469.28,45.28
471.95,47.62
476.95,47.62
481.95,47.62
486.95,47.62
491.95,47.62
496.96,47.62
501.96,47.62
506.96,47.62
511.96,47.62
516.96,47.62
521.97,47.62
526.97,47.62
531.97,47.62
536.97,47.62
541.97,47.62
546.97,47.62
551.98,47.62
556.98,47.62
560.34,49.26
560.34,54.26
560.34,59.26
560.34,64.26
560.34,69.27
560.34,74.27
560.34,79.27
560.34,84.27
560.34,89.27
560.34,94.27
560.34,99.28
560.34,104.28
560.34,109.28
560.34,114.28
560.34,119.28
560.34,124.29
560.34,129.29
560.34,134.29
560.34,139.29
560.34,144.29
560.34,149.3
560.34,154.3
560.34,159.3
560.34,164.3
556.92,165.88
551.91,165.88
546.91,165.88
541.91,165.88
536.91,165.88
531.91,165.88
526.9,165.88
521.9,165.88
516.9,165.88
511.9,165.88
506.9,165.88
501.89,165.88
496.89,165.88
491.89,165.88
486.89,165.88
481.89,165.88
476.88,165.88
471.88,165.88
466.88,165.88
461.88,165.88
456.88,165.88
451.87,165.88
446.87,165.88
441.87,165.88
436.87,165.88
431.87,165.88
426.86,165.88
421.86,165.88
416.86,165.88
411.86,165.88
406.86,165.88
401.85,165.88
396.85,165.88
391.85,165.88
386.85,165.88
381.85,165.88
376.84,165.88
371.84,165.88
366.84,165.88
361.84,165.88
356.84,165.88
351.83,165.88
346.83,165.88
341.83,165.88
336.83,165.88
331.83,165.88
326.82,165.88
321.82,165.88
316.82,165.88
311.82,165.88
306.82,165.88
301.81,165.88
296.81,165.88
291.81,165.88
286.81,165.88
281.81,165.88
276.8,165.88
276.7,160.98
276.7,155.98
276.7,150.98
276.7,145.98
276.7,140.97
276.7,135.97
276.7,130.97
276.7,125.97
276.7,120.97
276.7,115.96
276.7,110.96
276.7,105.96
276.7,100.96
276.7,95.96
276.7,90.95
276.7,85.95
275.67,81.98
270.67,81.98
265.66,81.98
260.66,81.98
255.66,81.98
250.66,81.98
245.66,81.98
240.65,81.98
235.65,81.98
230.65,81.98
225.65,81.98
220.65,81.98
215.64,81.98
210.64,81.98
205.64,81.98
200.64,81.98
195.64,81.98
190.63,81.98
185.63,81.98
180.63,81.98
175.63,81.98
170.63,81.98
165.62,81.98
161.08,82.44
161.08,87.44
161.08,92.45
161.08,97.45
161.08,102.45
161.08,107.45
161.08,112.45
161.08,117.46
161.08,122.46
161.08,127.46
161.08,132.46
161.08,137.46
161.08,142.47
161.08,147.47
161.08,152.47
161.08,157.47
161.08,162.47
160.47,166.86
155.46,166.86
150.46,166.86
145.46,166.86
140.46,166.86
135.46,166.86
130.45,166.86
125.45,166.86
120.45,166.86
